,content,text_only,text_len,type,source_identifier,file_name
10,"The photometry was calibrated to the AB magnitude system \citep{Gunn1983}, adopting the revised zero points and sensitivities from \citet{Breeveld2011}. We derived the corresponding host photometric magnitudes for subtraction using the Code Investigating GALaxy Emission (CIGALE; \citealt{CIGALE}) in Section~\ref{SUBSECT:HostGal}.
","The photometry was calibrated to the AB magnitude system , adopting the revised zero points and sensitivities from . We derived the corresponding host photometric magnitudes for subtraction using the Code Investigating GALaxy Emission (CIGALE; ) in Section~.",258,text,Source_10,2510.22211v1
11,"We also collected host-subtracted light curves of Ansky from public time-domain surveys, including data from the Asteroid Terrestrial Impact Last Alert System (ATLAS; \citealt{ATLAS}) and the Zwicky Transient Facility (ZTF; \citealt{ZTF}).
","We also collected host-subtracted light curves of Ansky from public time-domain surveys, including data from the Asteroid Terrestrial Impact Last Alert System (ATLAS; ) and the Zwicky Transient Facility (ZTF; ).",211,text,Source_11,2510.22211v1
12,"The ATLAS $c-$ and $o-$band light curves were obtained using the ATLAS Forced Photometry Service\footnote{\url{https://fallingstar-data.com/forcedphot/}}, which performs PSF photometry on the difference images. The ZTF $g-$ and $r-$band light curves were obtained using the ZTF Forced Photometry Service \citep{ZFPS}. We binned the light curves in 10-day intervals to improve the SNR. All light curves, after correction for Galactic extinction, are shown in Figure~\ref{LCs}. We adopted a \citet{Cardelli1989} extinction law with $R_V=3.1$ and a Galactic extinction of $E(B-V)=0.0288\pm0.001$\,mag (\citealt{Schlafly2011}).
","The ATLAS and band light curves were obtained using the ATLAS Forced Photometry Service}, which performs PSF photometry on the difference images. The ZTF and band light curves were obtained using the ZTF Forced Photometry Service . We binned the light curves in 10-day intervals to improve the SNR. All light curves, after correction for Galactic extinction, are shown in Figure~. We adopted a extinction law with and a Galactic extinction of \,mag ().",452,text,Source_12,2510.22211v1
13,"\begin{figure*}
\centering
\begin{minipage}{1\textwidth}
\centering{\includegraphics[angle=0,width=1\textwidth]{HST_image.pdf}}
\end{minipage}
\caption{Left panel: The HST ACQ image taken on 2025 May 24 UT in the clear filter. Middle panel: The fitted model of SDSSJ1335+0728. Right panel: The residual image from our fit. The center of the galaxy SDSS J1335+0728 is marked with a red circle of radius $0\farcs2$.
\label{HST_image}}
\end{figure*}","\begin{figure*}
\centering
\begin{minipage}{1\textwidth}
\centering{\includegraphics[angle=0,width=1\textwidth]{HST_image.pdf}}
\end{minipage}
\caption{Left panel: The HST ACQ image taken on 2025 May 24 UT in the clear filter. Middle panel: The fitted model of SDSSJ1335+0728. Right panel: The residual image from our fit. The center of the galaxy SDSS J1335+0728 is marked with a red circle of radius $0\farcs2$.
\label{HST_image}}
\end{figure*}",446,text,Source_13,2510.22211v1
14,"\begin{figure}
\centering
\begin{minipage}{0.5\textwidth}
\centering{\includegraphics[angle=0,width=1\textwidth]{spec_opt.pdf}}
\end{minipage}
\caption{Rest-frame optical spectra of Ansky. Each spectrum is labeled by the instrument employed and the date of observation.
\label{spec_opt}}
\end{figure}","\begin{figure}
\centering
\begin{minipage}{0.5\textwidth}
\centering{\includegraphics[angle=0,width=1\textwidth]{spec_opt.pdf}}
\end{minipage}
\caption{Rest-frame optical spectra of Ansky. Each spectrum is labeled by the instrument employed and the date of observation.
\label{spec_opt}}
\end{figure}",300,text,Source_14,2510.22211v1
15,"\begin{figure*}
\flushleft
\begin{minipage}{1\textwidth}
\flushleft{\includegraphics[angle=0,width=1\textwidth]{SED.pdf}}
\end{minipage}
\caption{The fit to the UV-optical photometric SED of Ansky and comparison with the UV-optical spectra. The green and red dashed lines represent the power-law and blackbody fitting of the SED, respectively. The black and grey lines show the UV (HST/STIS on 2025 May 24) and optical spectra (LRIS/Keck on 2025 June 1), respectively.  
The blue solid dots denote the photometric measurements of Ansky at the epoch quasi-simultaneously with the UV
spectroscopic observation. The far-UV spectrum provides the strongest evidence for the deviation from a lower-temperature blackbody model. The excess of optical spectra over photometry at $\lambda>$ 4000~\AA\ is due to the strong host contamination. \label{SED}}
\end{figure*}","\begin{figure*}
\flushleft
\begin{minipage}{1\textwidth}
\flushleft{\includegraphics[angle=0,width=1\textwidth]{SED.pdf}}
\end{minipage}
\caption{The fit to the UV-optical photometric SED of Ansky and comparison with the UV-optical spectra. The green and red dashed lines represent the power-law and blackbody fitting of the SED, respectively. The black and grey lines show the UV (HST/STIS on 2025 May 24) and optical spectra (LRIS/Keck on 2025 June 1), respectively.  
The blue solid dots denote the photometric measurements of Ansky at the epoch quasi-simultaneously with the UV
spectroscopic observation. The far-UV spectrum provides the strongest evidence for the deviation from a lower-temperature blackbody model. The excess of optical spectra over photometry at $\lambda>$ 4000~\AA\ is due to the strong host contamination. \label{SED}}
\end{figure*}",858,text,Source_15,2510.22211v1
16,"\begin{figure*}
\flushleft
\begin{minipage}{1\textwidth}
\flushleft{\includegraphics[angle=0,width=1\textwidth]{LCs.pdf}}
\end{minipage}
\caption{The multiwavelength light curves of Ansky showing a double-peaked structure with long rise and decline timescales in the optical bands. The black vertical line marks the date of our HST/STIS observation, while the gray dashed line indicates the first epoch of detected QPE. The blue and red dashed lines represent the fitted Gaussian rises in the $g$ and $r$ bands, respectively. The dotted line shows the power-law decline. The optical light curves are binned in 10-day intervals, with the original unbinned data overplotted in the background with reduced opacity. The shaded region highlights the rebrightening phase. \label{LCs}}
\end{figure*}","\begin{figure*}
\flushleft
\begin{minipage}{1\textwidth}
\flushleft{\includegraphics[angle=0,width=1\textwidth]{LCs.pdf}}
\end{minipage}
\caption{The multiwavelength light curves of Ansky showing a double-peaked structure with long rise and decline timescales in the optical bands. The black vertical line marks the date of our HST/STIS observation, while the gray dashed line indicates the first epoch of detected QPE. The blue and red dashed lines represent the fitted Gaussian rises in the $g$ and $r$ bands, respectively. The dotted line shows the power-law decline. The optical light curves are binned in 10-day intervals, with the original unbinned data overplotted in the background with reduced opacity. The shaded region highlights the rebrightening phase. \label{LCs}}
\end{figure*}",792,text,Source_16,2510.22211v1
17,"In order to test for any UV line features of Ansky, we performed both blackbody and power-law fits on the HST spectrum. The best-fit blackbody temperature is $\rm38,063\pm107\,K$, and the power-law fitting result is $f_{\lambda} \propto \lambda^{-2.6}$. This slope is much steeper than that of AGNs, which have a typical index of -1.5 \citep{Vanden2001}, further disfavoring the AGN scenario. We then subtracted the best-fit power-law component, and the residual spectrum is shown in the bottom panel of Figure~\ref{hst_spec}. We do not detect any emission line features, including typical broad emission lines seen in Type 1 AGNs, in the residual spectrum, although it is noisy at the joint wavelength of G140L and G230L (1500--1600\,\AA). There appear to be narrow absorption lines of $\rm Ly\alpha$, N V~$\lambda$1240 and C IV~$\lambda$1549 with full widths at half maximum (FWHM)  of about 500 $\rm km\,s^{-1}$, likely due to absorption by host-galaxy gas. Furthermore, we measured the equivalent width of the Ly$\alpha$ absorption feature and used the empirical relation provided by \citet{Bohlin1975}, estimated that the column density of the HI is approximately $1.84\times10^{14}\,\rm cm^{-2}$. 
","In order to test for any UV line features of Ansky, we performed both blackbody and power-law fits on the HST spectrum. The best-fit blackbody temperature is , and the power-law fitting result is . This slope is much steeper than that of AGNs, which have a typical index of -1.5 , further disfavoring the AGN scenario. We then subtracted the best-fit power-law component, and the residual spectrum is shown in the bottom panel of Figure~. We do not detect any emission line features, including typical broad emission lines seen in Type 1 AGNs, in the residual spectrum, although it is noisy at the joint wavelength of G140L and G230L (1500--1600\,). There appear to be narrow absorption lines of , N V~1240 and C IV~1549 with full widths at half maximum (FWHM) of about 500 , likely due to absorption by host-galaxy gas. Furthermore, we measured the equivalent width of the Ly absorption feature and used the empirical relation provided by , estimated that the column density of the HI is approximately .",1004,text,Source_17,2510.22211v1
18,"This steep UV slope and the absence of spectral lines have been observed in some TDEs, referred to as featureless TDEs \citep{Hammerstein2023}. Furthermore, we plot the HST spectrum along with the LRIS spectrum in Figure~\ref{SED}, revealing that the optical spectra are dominated by the host-galaxy component of SDSSJ1335+0728. Our HST spectrum directly indicates that there is a high-temperature, featureless blackbody transient independent of the host galaxy.
Interestingly, the UV spectrum shows a notable blue excess
relative to the blackbody fit to the photometric SED. In contrast, a power-law fit with an index of -3 provides a much better match in Figure \ref{SED}. Such differences in the fits to the photometric SED have also been observed in other optical TDEs \citep{Lin2025}. 
","This steep UV slope and the absence of spectral lines have been observed in some TDEs, referred to as featureless TDEs . Furthermore, we plot the HST spectrum along with the LRIS spectrum in Figure~, revealing that the optical spectra are dominated by the host-galaxy component of SDSSJ1335+0728. Our HST spectrum directly indicates that there is a high-temperature, featureless blackbody transient independent of the host galaxy. Interestingly, the UV spectrum shows a notable blue excess relative to the blackbody fit to the photometric SED. In contrast, a power-law fit with an index of -3 provides a much better match in Figure . Such differences in the fits to the photometric SED have also been observed in other optical TDEs .",733,text,Source_18,2510.22211v1
19,"As noted in~\citet{J1335+0728}, SDSS J1335+0728 exhibited either no or very weak AGN activity prior to Ansky. Furthermore, none of the available spectra in \citet{J1335+0728} showed broad Balmer line components or Bowen fluorescence following the outburst—features commonly observed in AGN flares \citep{Frederick2021} and typical optical TDEs~\citep{Charalampopoulos2023}. Intriguingly, the authors report a delayed response of the narrow-line region (NLR) to the increase in ionizing flux beginning in 2019 December, deriving an upper limit of 1.1 pc for the NLR’s inner radius. Our Keck and MMT spectra also reveal a prominent [O III]~$\lambda$5007 emission line with a flux of $\sim2.2\times10^{-15}~\rm erg\,s^{-1}\,cm^{-2}\,$\AA$^{-1}$, which is comparable to the [O III] flux observed in the SOAR/Goodman spectrum taken in 2024 January by \citet{J1335+0728}.
","As noted in~, SDSS J1335+0728 exhibited either no or very weak AGN activity prior to Ansky. Furthermore, none of the available spectra in showed broad Balmer line components or Bowen fluorescence following the outburst—features commonly observed in AGN flares and typical optical TDEs~. Intriguingly, the authors report a delayed response of the narrow-line region (NLR) to the increase in ionizing flux beginning in 2019 December, deriving an upper limit of 1.1 pc for the NLR’s inner radius. Our Keck and MMT spectra also reveal a prominent [O III]~5007 emission line with a flux of , which is comparable to the [O III] flux observed in the SOAR/Goodman spectrum taken in 2024 January by .",691,text,Source_19,2510.22211v1
20,"We used the package {\tt SUPERBOL}~\citep{Nicholl2018} to fit the spectral energy distribution (SED) of Ansky with a blackbody model. Due to the sparse cadence of the {\it Swift}/UVOT observations, we set up  {\tt SUPERBOL} to employ a simple linear interpolation to shift the other observed bands to the epochs of the g-band observations to estimate the bolometric blackbody light curve and we marked the fits constrained by UV data. The blackbody temperature shows a slight decline near the first peak but remains above 20,000\,K throughout the observed period. The results are presented in Figure~\ref{bbfit}. We also find that blackbody temperatures from Opt-UV photometric SEDs are always lower than those inferred from the HST STIS spectrum, suggesting that the bolometric luminosities derived from photometric fits may be underestimated. Considering the large uncertainties in the UV-based estimates, the high temperature observed throughout the event’s lifetime remains consistent with those of other featureless TDEs. The peak blackbody luminosity is $2.1\pm1.0\times10^{43}~\rm erg\,s^{-1}$, and the total radiated energy by 2025 June (+1800\,days) is about $\rm 1.1\times10^{51}~erg$.
","We used the package { SUPERBOL}~ to fit the spectral energy distribution (SED) of Ansky with a blackbody model. Due to the sparse cadence of the { Swift}/UVOT observations, we set up { SUPERBOL} to employ a simple linear interpolation to shift the other observed bands to the epochs of the g-band observations to estimate the bolometric blackbody light curve and we marked the fits constrained by UV data. The blackbody temperature shows a slight decline near the first peak but remains above 20,000\,K throughout the observed period. The results are presented in Figure~. We also find that blackbody temperatures from Opt-UV photometric SEDs are always lower than those inferred from the HST STIS spectrum, suggesting that the bolometric luminosities derived from photometric fits may be underestimated. Considering the large uncertainties in the UV-based estimates, the high temperature observed throughout the event’s lifetime remains consistent with those of other featureless TDEs. The peak blackbody luminosity is , and the total radiated energy by 2025 June (+1800\,days) is about .",1089,text,Source_20,2510.22211v1
21,"Then, we applied the same function of Gaussian rise and power-law decline in \citet{Yao2023} to fit the $g-$ and $r-$band light curves. Following \citet{Yao2023}, we characterized the light curve evolution speed by calculating the rest-frame duration it takes for a TDE to rise from half-max to max ($t_{1/2,\rm rise}$) and to decline from max to half-max ($t_{1/2,\rm decline}$). We find that $t_{1/2,\rm rise}$ is $\rm 126\pm10\,$days in the $g$ band and is $\rm 129\pm7\,$days in the $r$ band, both slightly longer than those of other optical TDEs \citep{Yao2023}. The rise of Ansky lasted for approximately 350 days before reaching its peak. However, the power-law decline is exceptionally slow, with $t_{1/2,\rm decline} = 1520 \pm75\,$days and $1572 \pm77\,$days in the $g$ and $r$ bands, respectively.
Overall, the evolution of the bolometric light curve resembles that of other optical TDEs, except for the longer rise and decay timescales observed in this event.
","Then, we applied the same function of Gaussian rise and power-law decline in to fit the and band light curves. Following , we characterized the light curve evolution speed by calculating the rest-frame duration it takes for a TDE to rise from half-max to max () and to decline from max to half-max (). We find that is days in the band and is days in the band, both slightly longer than those of other optical TDEs . The rise of Ansky lasted for approximately 350 days before reaching its peak. However, the power-law decline is exceptionally slow, with days and days in the and bands, respectively. Overall, the evolution of the bolometric light curve resembles that of other optical TDEs, except for the longer rise and decay timescales observed in this event.",761,text,Source_21,2510.22211v1
