,content,text_only,text_len,type,source_identifier,file_name
19,"\begin{align}
\label{junction}
    u^{\rm{sr}}_{k}|_{\tau=\tau_\ast}=u^{\rm{st}}_{k}|_{\tau=\tau_\ast}~,~~~{u^{\rm{sr}}_{k}}'|_{\tau=\tau_\ast}={u^{\rm{st}}_{k}}'|_{\tau=\tau_\ast}~.
\end{align}","\begin{align}
\label{junction}
    u^{\rm{sr}}_{k}|_{\tau=\tau_\ast}=u^{\rm{st}}_{k}|_{\tau=\tau_\ast}~,~~~{u^{\rm{sr}}_{k}}'|_{\tau=\tau_\ast}={u^{\rm{st}}_{k}}'|_{\tau=\tau_\ast}~.
\end{align}",194,text,Source_19,2510.22218v1
20,"This will give rise to:
",This will give rise to:,23,text,Source_20,2510.22218v1
21,"\begin{equation}%
\label{coefficient}
\left[{\begin{array}{*{20}{c}}{{C^{\rm{st}}_1}}\\{{C^{\rm{st}}_2}}\end{array}} \right] ={\frac{{{\rm{\pi }}\alpha{k^2}}}{{8{\rm{i}}}}{C^{\rm{sr}}_1}\tau_\ast^2}\times
\left[{\begin{array}{*{20}{c}}{{\rm{ + }}{c_s}{{\left({ - \alpha k \tau _\ast} \right)}^{ - 1}}H_{3/4}^{(2)}\left({\frac{{\alpha{k^2}}}{2}\tau_\ast^2} \right)H_{1/2}^{(1)}\left({ - {c_s}k{\tau _\ast}} \right) - H_{ - 1/4}^{(2)}\left({\frac{{\alpha{k^2}}}{2}\tau _\ast^2} \right)H_{3/2}^{(1)}\left({ - {c_s}k{\tau _\ast}} \right)}\\
{ - {c_s}{\left(  - \alpha k \tau_\ast \right)}^{ - 1}}H_{3/4}^{(1)}\left({\frac{{\alpha{k^2}}}{2}\tau _\ast^2} \right)H_{1/2}^{(1)}\left({ - {c_s}k{\tau _\ast}} \right) + H_{ - 1/4}^{(2)}\left({\frac{{\alpha{k^2}}}{2}\tau _\ast^2} \right)H_{3/2}^{(1)}\left({ - {c_s}k{\tau _\ast}} \right)\end{array}} \right]~.
\end{equation}","\begin{equation}%
\label{coefficient}
\left[{\begin{array}{*{20}{c}}{{C^{\rm{st}}_1}}\\{{C^{\rm{st}}_2}}\end{array}} \right] ={\frac{{{\rm{\pi }}\alpha{k^2}}}{{8{\rm{i}}}}{C^{\rm{sr}}_1}\tau_\ast^2}\times
\left[{\begin{array}{*{20}{c}}{{\rm{ + }}{c_s}{{\left({ - \alpha k \tau _\ast} \right)}^{ - 1}}H_{3/4}^{(2)}\left({\frac{{\alpha{k^2}}}{2}\tau_\ast^2} \right)H_{1/2}^{(1)}\left({ - {c_s}k{\tau _\ast}} \right) - H_{ - 1/4}^{(2)}\left({\frac{{\alpha{k^2}}}{2}\tau _\ast^2} \right)H_{3/2}^{(1)}\left({ - {c_s}k{\tau _\ast}} \right)}\\
{ - {c_s}{\left(  - \alpha k \tau_\ast \right)}^{ - 1}}H_{3/4}^{(1)}\left({\frac{{\alpha{k^2}}}{2}\tau _\ast^2} \right)H_{1/2}^{(1)}\left({ - {c_s}k{\tau _\ast}} \right) + H_{ - 1/4}^{(2)}\left({\frac{{\alpha{k^2}}}{2}\tau _\ast^2} \right)H_{3/2}^{(1)}\left({ - {c_s}k{\tau _\ast}} \right)\end{array}} \right]~.
\end{equation}",863,text,Source_21,2510.22218v1
22,"We obtain the power spectrum of the curvature perturbations at their values at the end of inflation, namely $\tau\rightarrow 0$. In this limit, solution \eqref{stso} will have the following approximate behavior:
","We obtain the power spectrum of the curvature perturbations at their values at the end of inflation, namely . In this limit, solution will have the following approximate behavior:",179,text,Source_22,2510.22218v1
23,"\begin{equation}
    \label{stsolutionend}
    u^{\rm{st}}_{k} = {2^{3/2}}{\rm{i}}{{\rm{\pi }}^{ - 1}}{\rm{\Gamma }}\left({3/4} \right){\alpha ^{ - 3/4}}|{{C^{\rm{st}}_2} - {C^{\rm{st}}_1}}|{k^{ - 3/2}}{\left({ - \tau } \right)^{ - 1}}~.
\end{equation}","\begin{equation}
    \label{stsolutionend}
    u^{\rm{st}}_{k} = {2^{3/2}}{\rm{i}}{{\rm{\pi }}^{ - 1}}{\rm{\Gamma }}\left({3/4} \right){\alpha ^{ - 3/4}}|{{C^{\rm{st}}_2} - {C^{\rm{st}}_1}}|{k^{ - 3/2}}{\left({ - \tau } \right)^{ - 1}}~.
\end{equation}",252,text,Source_23,2510.22218v1
24,"Due to the expressions \eqref{coefficient}, the behavior of Eq. \eqref{stsolutionend} will be different in different scales, labeled with $k$. For evolutions of $u_k$ before the pivot scale $\tau_\ast$, we always have $\alpha{k^2}\tau^2/2<-{c_s}k{\tau}$, see Fig. 1 (right panel) in \cite{Qiu:2022klm}. In large scales where $\alpha{k^2}\tau^2/2<-{c_s}k{\tau}<1$, the solution becomes
","Due to the expressions , the behavior of Eq. will be different in different scales, labeled with . For evolutions of before the pivot scale , we always have , see Fig. 1 (right panel) in . In large scales where , the solution becomes",233,text,Source_24,2510.22218v1
25,"\begin{equation}
    \label{large}
 u^{\rm{st}}_{k} =  - 2{\rm{i}}{{\rm{\pi }}^{ - 2}}{\rm{\Gamma }}\left({3/4} \right){\rm{\Gamma }}\left({{\rm{1}}/{\rm{4}}} \right){\rm{\Gamma }}\left({{\rm{3}}/{\rm{2}}} \right){c_{s}}^{ - {\rm{3}}/{\rm{2}}}{C^{\rm{sr}}_1}{k^{ - 3/2}}{\left({ - \tau } \right)^{ - 1}}~.
\end{equation}","\begin{equation}
    \label{large}
 u^{\rm{st}}_{k} =  - 2{\rm{i}}{{\rm{\pi }}^{ - 2}}{\rm{\Gamma }}\left({3/4} \right){\rm{\Gamma }}\left({{\rm{1}}/{\rm{4}}} \right){\rm{\Gamma }}\left({{\rm{3}}/{\rm{2}}} \right){c_{s}}^{ - {\rm{3}}/{\rm{2}}}{C^{\rm{sr}}_1}{k^{ - 3/2}}{\left({ - \tau } \right)^{ - 1}}~.
\end{equation}",320,text,Source_25,2510.22218v1
26,"In medium scales where $\alpha{k^2}\tau^2/2 < 1 <  - {c_s}k{\tau}$, it becomes
","In medium scales where , it becomes",35,text,Source_26,2510.22218v1
27,"\begin{equation}
    \label{medium}
u^{\rm{st}}_{k} = {\rm{i}}\frac{4}{3}{2^{ - 3/2}}{{\rm{\pi }}^{ - 1/2}}c_s^{1/2}\tau _\ast^2{{\rm{e}}^{ -{{\rm{i}} {c_s}k{\tau _\ast}}}}{C^{\rm{sr}}_1}{k^{1/2}}{\left({ - \tau } \right)^{ - 1}}~.
\end{equation}","\begin{equation}
    \label{medium}
u^{\rm{st}}_{k} = {\rm{i}}\frac{4}{3}{2^{ - 3/2}}{{\rm{\pi }}^{ - 1/2}}c_s^{1/2}\tau _\ast^2{{\rm{e}}^{ -{{\rm{i}} {c_s}k{\tau _\ast}}}}{C^{\rm{sr}}_1}{k^{1/2}}{\left({ - \tau } \right)^{ - 1}}~.
\end{equation}",246,text,Source_27,2510.22218v1
28,"While in small scales where $1 < \alpha{k^2}\tau^2/2 <  - {c_s}k{\tau}$, it becomes
","While in small scales where , it becomes",40,text,Source_28,2510.22218v1
29,"\begin{equation}
   \label{small}
   u^{\rm{st}}_{k}=\sqrt 2 {{\rm{\pi }}^{ - 1}}{\rm{i}}{{\rm{e}}^{-{\rm{i}} {c_s}k{\tau _\ast}}}{\rm{\Gamma }}\left({3/4} \right){\alpha ^{ - 5/4}}c_s^{1/2}{\left({ - {\tau _\ast}} \right)^{ - 1/2}}{C^{\rm{sr}}_1}{k^{ - 2}}{\left({ - \tau } \right)^{ - 1}}~.
\end{equation}","\begin{equation}
   \label{small}
   u^{\rm{st}}_{k}=\sqrt 2 {{\rm{\pi }}^{ - 1}}{\rm{i}}{{\rm{e}}^{-{\rm{i}} {c_s}k{\tau _\ast}}}{\rm{\Gamma }}\left({3/4} \right){\alpha ^{ - 5/4}}c_s^{1/2}{\left({ - {\tau _\ast}} \right)^{ - 1/2}}{C^{\rm{sr}}_1}{k^{ - 2}}{\left({ - \tau } \right)^{ - 1}}~.
\end{equation}",307,text,Source_29,2510.22218v1
30,"The power spectrum of the curvature perturbation is defined as follows:
",The power spectrum of the curvature perturbation is defined as follows:,71,text,Source_30,2510.22218v1
31,"\begin{equation}{P_\zeta}(k) \equiv \frac{k^3}{2\pi^2}\left|\frac{u_k}{z}\right|^2~.
\end{equation}","\begin{equation}{P_\zeta}(k) \equiv \frac{k^3}{2\pi^2}\left|\frac{u_k}{z}\right|^2~.
\end{equation}",99,text,Source_31,2510.22218v1
32,"Thus from Eqs. \eqref{large}, \eqref{medium} and \eqref{small} one finds that
","Thus from Eqs. , and one finds that",35,text,Source_32,2510.22218v1
33,"\begin{equation}
\label{spectrum}
    {P_{\zeta}}(k) \propto \left\{{\begin{array}{*{20}{r}}
k^0 & \text{for large scale~,}\\
k^4 & \text{for medium scale~,}\\
k^{-1} & \text{for small scale~.} 
\end{array}} \right.
\end{equation}","\begin{equation}
\label{spectrum}
    {P_{\zeta}}(k) \propto \left\{{\begin{array}{*{20}{r}}
k^0 & \text{for large scale~,}\\
k^4 & \text{for medium scale~,}\\
k^{-1} & \text{for small scale~.} 
\end{array}} \right.
\end{equation}",230,text,Source_33,2510.22218v1
34,"We numerically calculate the equation \eqref{zetabar} and plot the power spectrum in Fig. \ref{fig:curvpert}. The figures show nice consistency with the analytical result \eqref{spectrum}, however, there also exists some oscillations on the small scales. This is due to the fact that for very large $k$ modes which does not exit the horizon before the pivot scale $\tau_\ast$, the subhorizon effect will become robust. However, 
","We numerically calculate the equation and plot the power spectrum in Fig. . The figures show nice consistency with the analytical result , however, there also exists some oscillations on the small scales. This is due to the fact that for very large modes which does not exit the horizon before the pivot scale , the subhorizon effect will become robust. However,",362,text,Source_34,2510.22218v1
35,"it can be smoothed to mimic the power-law form. Since in this work we're mainly focusing on the medium and small scales which are responsible for SIGW and PBH generation, it is useful to parametrize the power spectrum within these scales into a broken-power-law (BPL) form:
","it can be smoothed to mimic the power-law form. Since in this work we're mainly focusing on the medium and small scales which are responsible for SIGW and PBH generation, it is useful to parametrize the power spectrum within these scales into a broken-power-law (BPL) form:",273,text,Source_35,2510.22218v1
36,"\begin{equation}
\label{BPL}
    {P_{\zeta}}\left( k \right) = \left\{{\begin{array}{*{20}{c}}{A{{\left({\frac{k}{{{k_ * }}}} \right)}^4}}&{ k < {k_ * }}~,\\
{A{{\left({\frac{k}{{{k_ * }}}} \right)}^{ - 1}}}&{k > {k_ * }}~,
\end{array}} \right.
\end{equation}","\begin{equation}
\label{BPL}
    {P_{\zeta}}\left( k \right) = \left\{{\begin{array}{*{20}{c}}{A{{\left({\frac{k}{{{k_ * }}}} \right)}^4}}&{ k < {k_ * }}~,\\
{A{{\left({\frac{k}{{{k_ * }}}} \right)}^{ - 1}}}&{k > {k_ * }}~,
\end{array}} \right.
\end{equation}",259,text,Source_36,2510.22218v1
37,"where the amplitude $A$ is related to the model parameters $c_s$ and $\alpha$ in Eq. \eqref{zetabar}, while $k_\ast$ is pivot scale between medium and small scales.
","where the amplitude is related to the model parameters and in Eq. , while is pivot scale between medium and small scales.",121,text,Source_37,2510.22218v1
38,"\begin{figure}
    \centering
    \includegraphics[width=0.8\linewidth]{plot/CurvSpec.pdf}
    \caption{The power spectrum of curvature perturbation obtained from Eq. \eqref{zetabar} with respect to $k$ (in logarithm). Three straight lines mimicking the $P_\zeta-k$ relations are also shown for comparison: red line is for $P_\zeta\sim k^0$, green is for $P_\zeta\sim k^4$, while blue is for $P_\zeta\sim k^{-1}$. The dashed line denotes the pivot scale $k_\ast$ corresponding to the peak of the power spectrum. With the power spectrum in large scales around $2.0\times10^{-9}$, ${\lg|\tau _*|}$ and $\lg \alpha$ are set to be $-4.95$ and $-3.86$ to make the BPL parameters $\lg(k_*/\mathrm{Mpc^{-1}})$ and $\lg A$ to be $7.0$ and $-1.4$. }
    \label{fig:curvpert}
\end{figure}","\begin{figure}
    \centering
    \includegraphics[width=0.8\linewidth]{plot/CurvSpec.pdf}
    \caption{The power spectrum of curvature perturbation obtained from Eq. \eqref{zetabar} with respect to $k$ (in logarithm). Three straight lines mimicking the $P_\zeta-k$ relations are also shown for comparison: red line is for $P_\zeta\sim k^0$, green is for $P_\zeta\sim k^4$, while blue is for $P_\zeta\sim k^{-1}$. The dashed line denotes the pivot scale $k_\ast$ corresponding to the peak of the power spectrum. With the power spectrum in large scales around $2.0\times10^{-9}$, ${\lg|\tau _*|}$ and $\lg \alpha$ are set to be $-4.95$ and $-3.86$ to make the BPL parameters $\lg(k_*/\mathrm{Mpc^{-1}})$ and $\lg A$ to be $7.0$ and $-1.4$. }
    \label{fig:curvpert}
\end{figure}",778,text,Source_38,2510.22218v1
39,"It is well-known that the scalar and tensor perturbations decouple with each other in linear level. However, when going into non-linear level, the coupling will appear, and the scalar perturbation can be transferred into the tensor one via the scalar-tensor interaction, while the latter consists of the gravitational waves. Although it has been suppressed during most part of the inflation era, at the end of inflation where the scalar perturbation gets enlarged, such an interaction becomes important, and the induced tensor perturbation can act as a signal to be observed by the current gravitational wave observations. Here we consider the induced gravitational waves generated by the scalar perturbations given in \eqref{spectrum}.
","It is well-known that the scalar and tensor perturbations decouple with each other in linear level. However, when going into non-linear level, the coupling will appear, and the scalar perturbation can be transferred into the tensor one via the scalar-tensor interaction, while the latter consists of the gravitational waves. Although it has been suppressed during most part of the inflation era, at the end of inflation where the scalar perturbation gets enlarged, such an interaction becomes important, and the induced tensor perturbation can act as a signal to be observed by the current gravitational wave observations. Here we consider the induced gravitational waves generated by the scalar perturbations given in .",720,text,Source_39,2510.22218v1
40,"The energy density fraction spectrum of the present-day SIGW is calculated in
\cite{PhysRevD.75.123518,Kohri:2018awv} (see also \cite{Domenech:2021ztg} for a review). For scalar-induced case, the equation of motion for tensor perturbations can be written as:
","The energy density fraction spectrum of the present-day SIGW is calculated in (see also for a review). For scalar-induced case, the equation of motion for tensor perturbations can be written as:",194,text,Source_40,2510.22218v1
